AccommodationID,DestinationID,HotelName,Type,PricePerNight,Rating,Capacity,Amenities
19,5,Hotel Heritage 19,Hostel,13589,4.4,22,"Gym,AC,WiFi,Hot Water,Restaurant,Parking"
20,5,Hotel Royal 20,Guesthouse,4911,3.2,180,"Gym,WiFi,Spa,Parking,AC,Hot Water"
21,6,Hotel Grand 21,Resort,18646,4.3,109,"Hot Water,Spa,Gym,Pool,Restaurant,WiFi"
22,6,Hotel Heritage 22,Villa,21492,4.8,28,"Restaurant,Gym,Spa,Parking,Hot Water,AC"
23,6,Hotel Paradise 23,Guesthouse,14874,4.9,183,"WiFi,Gym,Parking"
24,6,Hotel Royal 24,Hotel,16172,3.6,129,"Spa,WiFi,Parking,AC"
25,6,Hotel Paradise 25,Villa,23295,4.5,147,"AC,Hot Water,Pool,WiFi"
26,7,Hotel Valley 26,Hostel,12677,4.8,46,"Gym,Parking,Spa,Hot Water,Pool"
27,7,Hotel Heritage 27,Villa,11007,3.6,54,"Parking,Hot Water,AC,Restaurant"
28,7,Hotel Valley 28,Hostel,3060,4.9,65,"Restaurant,Spa,AC,Parking,Gym,Pool"
29,7,Hotel Valley 29,Hotel,21711,4.0,37,"Parking,Spa,Hot Water"
30,7,Hotel Grand 30,Resort,18538,3.6,36,"WiFi,Pool,Spa"
31,8,Hotel Royal 31,Resort,12647,4.8,154,"Hot Water,Pool,AC"
32,8,Hotel Heritage 32,Hostel,24998,3.1,117,"AC,Restaurant,Parking"
33,8,Hotel Valley 33,Resort,11907,3.1,34,"Spa,Pool,Parking,WiFi"
34,8,Hotel Heritage 34,Guesthouse,18388,3.9,25,"Hot Water,Parking,Gym,AC"
35,8,Hotel Heritage 35,Resort,20077,3.1,139,"AC,Parking,WiFi"
36,9,Hotel Paradise 36,Guesthouse,11204,3.1,141,"Restaurant,Hot Water,WiFi,Gym,Spa"
37,9,Hotel Paradise 37,Villa,22454,4.3,88,"Hot Water,Restaurant,Spa"
38,9,Hotel Paradise 38,Villa,11435,3.1,113,"Hot Water,WiFi,Gym,Parking"
39,9,Hotel Valley 39,Guesthouse,6452,3.8,29,"WiFi,Restaurant,Parking,Hot Water"
40,10,Hotel Paradise 40,Villa,18364,3.3,43,"WiFi,Gym,Restaurant"
41,10,Hotel Heritage 41,Resort,13938,4.3,180,"Gym,Hot Water,Restaurant,Spa,Pool,WiFi"
42,10,Hotel Grand 42,Hostel,22764,3.1,114,"Parking,Gym,WiFi"
43,11,Hotel Valley 43,Resort,17305,3.0,181,"Pool,Gym,WiFi,Hot Water"
44,11,Hotel Royal 44,Villa,9543,4.5,40,"Restaurant,Gym,Spa,Hot Water,Parking"
45,11,Hotel Royal 45,Guesthouse,7073,3.5,115,"Gym,AC,Restaurant"
46,12,Hotel Paradise 46,Hostel,23352,3.8,132,"Parking,Hot Water,AC,Restaurant,WiFi"
47,12,Hotel Heritage 47,Guesthouse,9400,4.7,28,"Parking,AC,Hot Water,Restaurant"
48,12,Hotel Valley 48,Villa,6491,3.7,142,"WiFi,AC,Spa,Parking,Restaurant"
49,12,Hotel Grand 49,Villa,7334,4.1,94,"Hot Water,Restaurant,Parking"
50,12,Hotel Valley 50,Resort,21065,3.3,48,"Hot Water,Restaurant,Gym,Spa"
51,13,Hotel Paradise 51,Villa,5141,4.4,38,"Parking,AC,Hot Water,Gym"
52,13,Hotel Royal 52,Villa,6748,3.8,145,"Hot Water,WiFi,AC"
53,14,Hotel Paradise 53,Guesthouse,2823,4.1,136,"Hot Water,Parking,AC,Restaurant,Gym,WiFi"
54,14,Hotel Valley 54,Hostel,13003,3.1,166,"Hot Water,AC,Restaurant,WiFi"
55,14,Hotel Paradise 55,Villa,13829,4.2,163,"Pool,Spa,Restaurant,AC,Gym,Hot Water"
56,15,Hotel Grand 56,Guesthouse,5719,3.7,197,"Hot Water,Gym,WiFi"
57,15,Hotel Paradise 57,Hotel,15216,3.8,176,"Gym,Parking,Restaurant,AC,Hot Water,WiFi"
58,15,Hotel Paradise 58,Resort,2009,4.9,128,"Hot Water,Pool,WiFi"
59,15,Hotel Royal 59,Villa,6158,3.8,78,"Pool,Spa,Restaurant"
60,16,Hotel Valley 60,Guesthouse,20384,4.1,152,"Gym,Hot Water,Pool"
61,16,Hotel Royal 61,Hotel,17444,3.9,129,"Pool,Hot Water,Parking,WiFi"
62,16,Hotel Grand 62,Guesthouse,16430,3.2,173,"Gym,Hot Water,WiFi"
63,16,Hotel Paradise 63,Guesthouse,10580,3.2,76,"WiFi,Pool,Hot Water,Spa"
64,17,Hotel Royal 64,Guesthouse,8881,3.7,117,"Restaurant,WiFi,Pool,Parking,Gym,Spa"
65,17,Hotel Paradise 65,Hotel,11550,3.8,125,"WiFi,Pool,Parking,Spa"
66,18,Hotel Paradise 66,Guesthouse,24355,3.9,53,"Restaurant,AC,WiFi"
67,18,Hotel Paradise 67,Hostel,13637,4.4,151,"AC,WiFi,Pool,Gym"
68,18,Hotel Grand 68,Villa,13314,3.1,24,"Hot Water,Parking,AC,Spa,Gym,Restaurant"
69,18,Hotel Paradise 69,Guesthouse,20777,4.8,196,"Hot Water,Restaurant,WiFi,AC"
70,19,Hotel Royal 70,Villa,6432,3.6,20,"Hot Water,Pool,AC,Gym"
71,19,Hotel Grand 71,Guesthouse,10150,4.1,149,"Parking,Hot Water,Gym,AC,Pool,Spa"
72,19,Hotel Royal 72,Guesthouse,10172,4.7,57,"Hot Water,WiFi,Pool"
73,20,Hotel Paradise 73,Resort,18509,3.2,164,"Gym,Hot Water,Restaurant,Parking,Pool"
74,20,Hotel Grand 74,Guesthouse,22590,4.5,130,"Spa,Gym,AC"
75,20,Hotel Heritage 75,Resort,17679,4.1,78,"Gym,Spa,AC,Parking,Restaurant,Pool"
76,20,Hotel Heritage 76,Hostel,21901,3.6,114,"Restaurant,Pool,Parking"
77,21,Hotel Grand 77,Guesthouse,16043,4.8,98,"Pool,Parking,Hot Water,Spa,Gym"
78,21,Hotel Royal 78,Resort,15746,4.7,152,"Spa,Pool,AC,Parking"
79,21,Hotel Paradise 79,Guesthouse,4048,4.2,83,"Spa,Hot Water,WiFi,AC"
80,21,Hotel Paradise 80,Resort,2009,4.1,157,"Parking,Hot Water,AC,WiFi"
81,21,Hotel Paradise 81,Hotel,21208,4.2,171,"Gym,AC,Restaurant,WiFi,Pool,Hot Water"
82,22,Hotel Valley 82,Hostel,7256,3.4,54,"AC,Hot Water,Pool,Parking,Spa"
83,22,Hotel Valley 83,Guesthouse,23204,3.4,102,"Parking,WiFi,Restaurant"
84,22,Hotel Paradise 84,Resort,12535,3.9,123,"Restaurant,AC,Spa,WiFi,Pool"
85,23,Hotel Paradise 85,Hotel,4192,4.8,72,"Parking,AC,Pool,Hot Water,WiFi,Gym"
86,23,Hotel Grand 86,Guesthouse,17374,4.8,52,"WiFi,Parking,Pool,Spa,Gym,AC"
87,23,Hotel Paradise 87,Villa,19334,3.3,105,"Hot Water,Spa,Parking,WiFi,Pool,Restaurant"
88,24,Hotel Heritage 88,Villa,8359,4.2,34,"AC,Hot Water,Pool,Gym"
89,24,Hotel Royal 89,Hostel,8898,4.1,45,"Restaurant,Parking,WiFi"
90,24,Hotel Grand 90,Hostel,4443,4.8,123,"WiFi,AC,Gym,Parking,Hot Water"
91,25,Hotel Valley 91,Resort,10795,3.7,156,"Spa,Parking,AC,Gym"
92,25,Hotel Paradise 92,Villa,5476,3.3,183,"Pool,AC,Hot Water,Parking"
93,25,Hotel Paradise 93,Villa,21891,4.6,173,"Parking,Gym,Spa,Pool"
94,26,Hotel Grand 94,Hostel,24874,3.9,190,"Gym,Hot Water,Spa,Restaurant,Parking"
95,26,Hotel Paradise 95,Hotel,6380,4.2,169,"Hot Water,Spa,Parking,Gym,WiFi"
96,27,Hotel Heritage 96,Guesthouse,23566,5.0,68,"Hot Water,Restaurant,AC,Pool,Gym,WiFi"
97,27,Hotel Valley 97,Hotel,22908,3.8,163,"Hot Water,Parking,Pool,AC,Restaurant"
98,27,Hotel Heritage 98,Hotel,13485,4.1,82,"Gym,Pool,AC,Spa,Hot Water,WiFi"
99,28,Hotel Grand 99,Guesthouse,16422,5.0,51,"WiFi,Pool,Gym"
100,28,Hotel Royal 100,Villa,10519,3.2,86,"Hot Water,Parking,Pool,Restaurant"
101,28,Hotel Royal 101,Guesthouse,24003,4.3,161,"Hot Water,Spa,Gym,AC,Restaurant"
102,28,Hotel Valley 102,Hostel,15859,4.3,101,"Gym,Pool,Spa,Restaurant,WiFi"
103,28,Hotel Grand 103,Hostel,6566,3.1,39,"Gym,Hot Water,Parking,Restaurant"
104,29,Hotel Grand 104,Guesthouse,14880,4.7,139,"Pool,Spa,Restaurant"
105,29,Hotel Paradise 105,Resort,10428,3.8,41,"Pool,Spa,Hot Water,Restaurant,Parking"
106,30,Hotel Valley 106,Hostel,7475,4.0,53,"Restaurant,Hot Water,Gym,WiFi"
107,30,Hotel Grand 107,Villa,20458,4.8,153,"Hot Water,AC,Restaurant"
108,30,Hotel Grand 108,Villa,13664,3.8,141,"AC,Restaurant,Gym,WiFi,Spa"
109,30,Hotel Heritage 109,Hostel,15081,3.1,30,"AC,Gym,Spa,WiFi"
110,31,Hotel Grand 110,Villa,23792,3.5,167,"Gym,Parking,AC,Spa,Restaurant"
111,31,Hotel Royal 111,Resort,16536,4.5,92,"AC,Spa,Gym,Parking,WiFi"
112,31,Hotel Grand 112,Hotel,15350,3.2,127,"Pool,Parking,Restaurant"
113,31,Hotel Heritage 113,Hostel,6090,4.9,36,"Spa,WiFi,Hot Water,Pool,Parking,AC"
114,31,Hotel Valley 114,Hotel,3750,4.4,44,"Gym,Spa,Restaurant,Parking"
115,32,Hotel Grand 115,Hotel,14182,4.1,105,"Gym,Spa,Hot Water"
116,32,Hotel Valley 116,Resort,5294,4.7,186,"Pool,Hot Water,Parking,Restaurant"
117,32,Hotel Royal 117,Guesthouse,15409,4.8,190,"Spa,Pool,AC,Gym,WiFi"
118,33,Hotel Paradise 118,Villa,17520,4.8,189,"Restaurant,Parking,Spa,Gym"
119,33,Hotel Valley 119,Villa,17775,4.9,142,"Hot Water,WiFi,Pool,Spa,AC,Restaurant"
120,33,Hotel Heritage 120,Hotel,2271,4.7,140,"Restaurant,AC,Parking,Hot Water,WiFi"
121,33,Hotel Royal 121,Villa,3165,3.6,87,"Restaurant,Hot Water,Parking,AC"
122,33,Hotel Paradise 122,Hotel,11155,3.4,56,"Restaurant,Pool,Parking,AC"
123,34,Hotel Paradise 123,Guesthouse,24074,3.8,112,"Spa,AC,WiFi"
124,34,Hotel Grand 124,Hotel,20649,3.1,22,"Hot Water,WiFi,Pool,Parking,AC"
125,35,Hotel Grand 125,Hotel,12106,3.8,197,"Pool,Parking,Restaurant,AC"
126,35,Hotel Valley 126,Hotel,6675,4.2,117,"Spa,Pool,AC,Parking"
127,35,Hotel Paradise 127,Resort,15774,4.3,24,"Parking,Gym,Spa,Hot Water,Pool"
128,35,Hotel Valley 128,Guesthouse,11903,4.4,100,"Gym,Spa,AC,WiFi,Hot Water"
129,35,Hotel Grand 129,Hostel,3312,4.8,166,"Pool,WiFi,Parking,Restaurant"
130,36,Hotel Royal 130,Villa,15481,3.2,174,"Parking,Spa,AC,Hot Water,Gym,Restaurant"
131,36,Hotel Royal 131,Resort,9561,4.6,177,"Gym,Hot Water,Parking,WiFi"
132,36,Hotel Heritage 132,Resort,23727,3.2,174,"Gym,Restaurant,WiFi,Spa,Hot Water"
133,36,Hotel Royal 133,Resort,23736,4.9,82,"Gym,Restaurant,AC"
134,36,Hotel Heritage 134,Guesthouse,19649,4.9,36,"Hot Water,Restaurant,Parking,WiFi,Spa,Gym"
135,37,Hotel Royal 135,Resort,4353,5.0,194,"Spa,Restaurant,Pool,AC"
136,37,Hotel Valley 136,Hostel,13296,3.6,98,"Spa,Parking,WiFi"
137,37,Hotel Valley 137,Guesthouse,16288,3.2,58,"WiFi,AC,Pool,Spa,Gym,Parking"
138,37,Hotel Heritage 138,Hostel,24042,4.7,145,"Gym,WiFi,Parking,Pool,Restaurant"
139,37,Hotel Heritage 139,Hostel,7626,3.8,143,"Parking,AC,WiFi,Restaurant,Gym,Spa"
140,38,Hotel Heritage 140,Hostel,3607,3.3,164,"Gym,Pool,Hot Water,AC,WiFi"
141,38,Hotel Valley 141,Guesthouse,10884,4.8,141,"Hot Water,WiFi,Gym"
142,38,Hotel Paradise 142,Guesthouse,7109,3.7,149,"Restaurant,Hot Water,Spa,Parking,AC"
143,39,Hotel Grand 143,Hostel,23804,4.5,121,"Gym,Hot Water,Pool,Parking,AC,WiFi"
144,39,Hotel Heritage 144,Hotel,21501,3.3,99,"Parking,Spa,WiFi"
145,39,Hotel Paradise 145,Resort,8368,3.2,177,"Spa,Restaurant,Hot Water,Parking"
146,39,Hotel Grand 146,Resort,5041,3.1,191,"WiFi,AC,Restaurant"
147,39,Hotel Paradise 147,Hotel,23767,4.9,111,"Pool,WiFi,Parking"
148,40,Hotel Grand 148,Hostel,23288,3.3,33,"WiFi,Spa,Parking,Pool,Hot Water,Restaurant"
149,40,Hotel Royal 149,Resort,22022,3.9,192,"Hot Water,Restaurant,Spa,WiFi,AC"
150,40,Hotel Grand 150,Hostel,2661,3.7,75,"WiFi,Gym,Parking,Pool,Restaurant,Hot Water"
151,41,Hotel Paradise 151,Guesthouse,9005,4.9,43,"Gym,AC,WiFi,Spa,Hot Water"
152,41,Hotel Royal 152,Hotel,8563,3.1,117,"Restaurant,WiFi,Hot Water,Parking,Gym,AC"
153,42,Hotel Royal 153,Hostel,14473,4.8,31,"WiFi,Spa,Restaurant,Gym,Pool,Hot Water"
154,42,Hotel Heritage 154,Resort,11131,3.7,21,"Gym,Pool,AC,Restaurant,WiFi"
155,42,Hotel Heritage 155,Villa,3646,4.2,103,"Pool,Restaurant,Parking,WiFi,AC"
156,42,Hotel Grand 156,Hostel,22740,3.7,187,"Spa,Parking,Pool,Hot Water"
157,42,Hotel Grand 157,Villa,24281,4.3,124,"WiFi,AC,Gym,Parking,Restaurant,Spa"
158,43,Hotel Heritage 158,Hotel,5178,4.5,184,"Gym,AC,Parking"
159,43,Hotel Grand 159,Resort,2968,4.1,39,"Spa,Parking,Hot Water"
160,44,Hotel Paradise 160,Hotel,3229,4.4,39,"Parking,Pool,Gym"
161,44,Hotel Paradise 161,Hostel,5249,3.7,57,"Gym,Pool,Spa"
162,44,Hotel Heritage 162,Resort,11556,3.2,27,"WiFi,Restaurant,Parking,Hot Water,Pool,Spa"
163,45,Hotel Grand 163,Hostel,24473,3.0,164,"AC,Pool,Restaurant,WiFi,Parking,Hot Water"
164,45,Hotel Heritage 164,Hotel,5072,3.4,161,"Spa,Parking,Gym,Restaurant"
165,46,Hotel Paradise 165,Hotel,9848,5.0,32,"AC,Restaurant,Hot Water,Gym,Pool,Parking"
166,46,Hotel Heritage 166,Hostel,5553,4.5,42,"AC,Gym,Parking"
167,47,Hotel Heritage 167,Resort,6806,4.1,166,"Parking,Pool,Hot Water"
168,47,Hotel Heritage 168,Resort,13530,4.2,129,"Parking,Restaurant,Hot Water,Pool,Gym,AC"
169,47,Hotel Grand 169,Guesthouse,3177,3.2,152,"Pool,AC,Spa,Restaurant"
170,47,Hotel Grand 170,Guesthouse,15178,4.0,40,"WiFi,Parking,AC,Restaurant"
171,48,Hotel Royal 171,Hostel,14046,3.4,160,"Gym,Parking,WiFi,Restaurant,Pool"
172,48,Hotel Royal 172,Villa,8894,4.1,155,"Hot Water,AC,WiFi,Pool"
173,48,Hotel Heritage 173,Resort,22829,3.4,114,"AC,Restaurant,WiFi,Spa,Hot Water,Gym"
174,48,Hotel Heritage 174,Guesthouse,11667,3.2,73,"Restaurant,Pool,Gym,Hot Water,WiFi,Spa"
175,49,Hotel Valley 175,Guesthouse,21481,3.4,29,"Pool,Gym,AC,WiFi,Restaurant,Parking"
176,49,Hotel Royal 176,Villa,24083,3.5,38,"Restaurant,Gym,AC,Pool,Hot Water,Spa"
177,50,Hotel Grand 177,Villa,18866,4.7,180,"Pool,Gym,Spa,Restaurant,Hot Water,WiFi"
178,50,Hotel Royal 178,Resort,11160,3.8,172,"AC,Parking,Pool,Restaurant,Hot Water"
179,50,Hotel Valley 179,Hotel,24986,5.0,65,"WiFi,Pool,Gym,AC"
180,50,Hotel Heritage 180,Villa,14640,4.2,92,"Spa,WiFi,Restaurant,Hot Water,AC"
181,50,Hotel Heritage 181,Resort,7051,4.6,46,"Parking,Pool,Spa,AC,Hot Water,Gym"
182,51,Hotel Royal 182,Resort,23675,4.3,54,"Spa,Pool,WiFi"
183,51,Hotel Valley 183,Hotel,2207,3.8,177,"Spa,Restaurant,WiFi,Parking"
184,51,Hotel Valley 184,Guesthouse,17463,3.0,123,"Gym,Parking,Restaurant"
185,51,Hotel Grand 185,Hotel,19396,4.7,57,"Gym,Restaurant,Parking,Hot Water,Spa,AC"
186,51,Hotel Valley 186,Resort,20792,3.2,94,"AC,Hot Water,Restaurant,WiFi,Pool,Gym"
187,52,Hotel Royal 187,Hostel,12382,5.0,120,"WiFi,Spa,Restaurant,Hot Water,Pool,Parking"
188,52,Hotel Royal 188,Resort,9629,4.6,99,"Restaurant,Gym,AC,Spa,Hot Water,WiFi"
189,52,Hotel Grand 189,Hostel,9373,5.0,29,"Hot Water,AC,Parking,Restaurant,Spa"
190,52,Hotel Paradise 190,Villa,17795,4.0,188,"Gym,Hot Water,Restaurant"
191,53,Hotel Heritage 191,Villa,9967,3.2,111,"Pool,Restaurant,WiFi"
192,53,Hotel Valley 192,Hostel,22733,4.2,170,"Hot Water,Spa,Restaurant"
193,53,Hotel Grand 193,Hostel,19073,3.1,75,"Gym,WiFi,Pool,Parking,Hot Water"
194,54,Hotel Royal 194,Guesthouse,10800,4.0,122,"Spa,Parking,Pool"
195,54,Hotel Grand 195,Villa,7693,4.3,26,"Restaurant,AC,Parking,Hot Water,Gym,Pool"
196,54,Hotel Grand 196,Hostel,8548,3.0,98,"Restaurant,Hot Water,Parking,WiFi,Spa"
197,54,Hotel Grand 197,Resort,16828,5.0,101,"Gym,Restaurant,Pool"
198,55,Hotel Valley 198,Guesthouse,24271,3.2,45,"Parking,AC,Spa"
199,55,Hotel Valley 199,Guesthouse,21877,3.8,61,"Spa,WiFi,Restaurant,AC"
200,56,Hotel Valley 200,Hotel,22281,3.5,40,"Pool,Restaurant,Parking"
201,56,Hotel Paradise 201,Guesthouse,22310,4.0,88,"Pool,Spa,WiFi,Gym,Hot Water,Parking"
202,57,Hotel Royal 202,Hotel,9788,4.6,171,"Parking,Restaurant,Hot Water,Pool,Gym,Spa"
203,57,Hotel Royal 203,Guesthouse,14686,4.9,47,"WiFi,AC,Gym"
204,57,Hotel Grand 204,Guesthouse,19630,4.6,123,"WiFi,Hot Water,Pool,AC,Gym"
205,57,Hotel Paradise 205,Hotel,14504,4.1,133,"Pool,Spa,Gym"
206,57,Hotel Valley 206,Villa,8303,4.5,51,"WiFi,Hot Water,Parking,Gym"
207,58,Hotel Paradise 207,Hotel,6583,3.9,143,"AC,Spa,Gym,Pool,WiFi,Hot Water"
208,58,Hotel Royal 208,Hotel,14258,4.3,138,"Restaurant,Spa,Hot Water,AC"
209,58,Hotel Valley 209,Guesthouse,11951,3.4,105,"Restaurant,Spa,AC,Gym,Parking"
210,58,Hotel Grand 210,Villa,14500,4.5,46,"Hot Water,Parking,Spa,AC"
211,58,Hotel Valley 211,Villa,3376,4.0,137,"Gym,Spa,Parking,WiFi"
212,59,Hotel Grand 212,Resort,5727,4.6,127,"Parking,Restaurant,Hot Water,AC,WiFi"
213,59,Hotel Royal 213,Hotel,5081,4.5,65,"AC,Spa,Parking"
214,59,Hotel Heritage 214,Guesthouse,16933,4.7,77,"Gym,AC,Spa,Pool,WiFi"
215,59,Hotel Heritage 215,Hostel,5983,3.3,89,"Hot Water,Restaurant,Spa,Parking"
216,60,Hotel Royal 216,Resort,3828,4.3,73,"WiFi,Restaurant,AC,Gym,Hot Water"
217,60,Hotel Heritage 217,Hotel,12822,4.0,33,"Gym,Restaurant,WiFi,Hot Water,Pool,Parking"
218,60,Hotel Grand 218,Resort,16226,3.5,79,"WiFi,Restaurant,Gym,AC,Pool"
219,60,Hotel Grand 219,Villa,13166,4.7,38,"Spa,Pool,Hot Water,Parking,Restaurant"
220,60,Hotel Heritage 220,Hotel,21194,4.6,66,"AC,Parking,Hot Water,Restaurant,WiFi,Gym"
221,61,Hotel Heritage 221,Hostel,3733,5.0,143,"Hot Water,Restaurant,Parking"
222,61,Hotel Grand 222,Hostel,23452,4.4,113,"Restaurant,Gym,Pool,Hot Water,Spa"
223,61,Hotel Valley 223,Hostel,19833,4.7,173,"Parking,Pool,AC,Restaurant"
224,61,Hotel Valley 224,Guesthouse,17941,4.3,145,"Restaurant,Parking,Gym,WiFi,Pool"
225,62,Hotel Heritage 225,Guesthouse,6283,3.8,103,"AC,Spa,Hot Water,Pool,Gym"
226,62,Hotel Heritage 226,Hostel,3974,4.8,139,"Hot Water,Restaurant,Gym,Parking,AC,Spa"
227,62,Hotel Paradise 227,Villa,7347,3.1,103,"Pool,Restaurant,AC,Spa"
228,62,Hotel Royal 228,Resort,19055,4.3,167,"AC,Gym,Hot Water,Pool"
229,63,Hotel Valley 229,Resort,24548,3.5,150,"Restaurant,WiFi,Pool,Gym,Parking"
230,63,Hotel Heritage 230,Hotel,8588,3.2,197,"Hot Water,Pool,Gym,AC,Restaurant"
231,63,Hotel Paradise 231,Hotel,11879,3.2,117,"Hot Water,Spa,Gym"
232,63,Hotel Grand 232,Hotel,17177,3.3,21,"Pool,AC,Hot Water,Spa,Gym,WiFi"
233,63,Hotel Heritage 233,Guesthouse,6666,3.9,82,"Pool,AC,Restaurant,Spa"
234,64,Hotel Heritage 234,Villa,20133,3.3,33,"WiFi,Gym,Restaurant,Parking,Pool,Spa"
235,64,Hotel Grand 235,Hotel,24263,3.9,63,"Hot Water,Restaurant,AC,Gym,Pool"
236,65,Hotel Grand 236,Hostel,8852,4.9,31,"Parking,Spa,WiFi,AC"
237,65,Hotel Paradise 237,Resort,16889,3.9,31,"Parking,Restaurant,Spa,Gym"
238,66,Hotel Paradise 238,Guesthouse,21584,3.1,27,"Pool,WiFi,Parking,Gym,AC"
239,66,Hotel Royal 239,Hotel,17149,3.6,148,"WiFi,Gym,Parking"
240,66,Hotel Heritage 240,Guesthouse,3125,5.0,78,"Restaurant,Pool,WiFi,Parking,Gym"
241,67,Hotel Grand 241,Resort,2226,3.4,28,"AC,Parking,Pool,Gym,Hot Water,WiFi"
242,67,Hotel Grand 242,Guesthouse,20888,3.7,150,"AC,Spa,WiFi,Pool,Restaurant,Hot Water"
243,67,Hotel Paradise 243,Villa,20099,4.8,70,"WiFi,Restaurant,AC,Hot Water,Spa,Parking"
244,67,Hotel Valley 244,Guesthouse,20058,4.7,110,"Pool,Spa,AC,Gym,WiFi"
245,68,Hotel Paradise 245,Guesthouse,24528,4.7,106,"AC,WiFi,Hot Water"
246,68,Hotel Valley 246,Hostel,11528,3.6,65,"Gym,Spa,Hot Water,WiFi,Parking,Pool"
247,68,Hotel Heritage 247,Villa,12449,4.3,153,"Parking,Hot Water,Spa,Restaurant,WiFi,AC"
248,68,Hotel Heritage 248,Villa,11031,3.3,166,"WiFi,Spa,Pool,Parking,Gym"
249,69,Hotel Paradise 249,Hostel,17282,4.7,38,"Hot Water,AC,Parking,Spa,WiFi"
250,69,Hotel Heritage 250,Hostel,21374,3.9,139,"Parking,Gym,AC"
251,69,Hotel Paradise 251,Guesthouse,16424,4.6,72,"Restaurant,Gym,AC,Parking"
252,70,Hotel Heritage 252,Resort,18232,3.7,105,"Spa,Parking,Hot Water"
253,70,Hotel Royal 253,Hostel,3492,4.0,88,"Gym,Restaurant,Parking"
254,70,Hotel Paradise 254,Villa,15635,4.7,84,"Parking,Gym,AC,WiFi,Hot Water,Restaurant"
255,70,Hotel Paradise 255,Hostel,18789,4.2,70,"Hot Water,WiFi,Restaurant,Parking,Gym,Pool"
256,71,Hotel Heritage 256,Guesthouse,23909,4.6,86,"Hot Water,Parking,AC,Gym,Pool,Restaurant"
257,71,Hotel Paradise 257,Resort,8716,3.9,46,"Gym,Hot Water,WiFi,Spa"
258,71,Hotel Paradise 258,Hostel,10333,4.2,103,"Gym,Hot Water,AC,Spa,WiFi,Parking"
259,72,Hotel Royal 259,Guesthouse,6987,3.6,58,"Restaurant,Pool,AC"
260,72,Hotel Paradise 260,Hotel,7463,3.2,60,"AC,Pool,Hot Water"
261,72,Hotel Valley 261,Hostel,3517,5.0,96,"Parking,WiFi,Pool"
262,72,Hotel Valley 262,Guesthouse,8588,3.6,64,"Parking,AC,Hot Water,Restaurant,Pool"
263,72,Hotel Valley 263,Hotel,24190,4.7,165,"Gym,Restaurant,WiFi,Hot Water"
264,73,Hotel Heritage 264,Guesthouse,5808,3.8,162,"Spa,Hot Water,Restaurant,AC,Parking,Pool"
265,73,Hotel Royal 265,Villa,11101,4.3,137,"Restaurant,Gym,Pool"
266,73,Hotel Valley 266,Resort,3628,3.1,163,"Spa,Hot Water,Parking"
267,74,Hotel Valley 267,Resort,7476,3.2,68,"Hot Water,Gym,Spa,Restaurant,Pool,AC"
268,74,Hotel Grand 268,Guesthouse,4658,3.2,92,"Restaurant,Spa,Parking,Gym,Pool"
269,74,Hotel Royal 269,Hostel,15467,4.2,60,"WiFi,Restaurant,AC"
270,75,Hotel Heritage 270,Hotel,12135,3.7,175,"Pool,Spa,Gym,WiFi,AC"
271,75,Hotel Royal 271,Villa,21657,4.3,182,"Hot Water,Parking,Restaurant"
272,75,Hotel Valley 272,Resort,13951,3.4,84,"Spa,Parking,Pool,WiFi,Gym"
273,75,Hotel Royal 273,Hostel,24602,3.3,173,"Hot Water,Restaurant,Gym,AC,Parking"
